freq_hz,mag_db,phase_deg
1499.98813902,-45.923769022,-131.498229314
1503.48059868,-46.8797452463,168.452523652
1506.92649221,-2.62622503092,82.7791112052
1510.41895186,-0.774171610081,76.0155298927
1513.91141152,0.616883648627,80.5966723877
1517.40387117,-0.650877430463,77.8567103546
1520.89633083,-4.03981071099,74.4658144567
1524.38879049,-2.91889572034,71.5660483349
1527.92781627,-1.73212660928,79.6338149612
1531.42027593,-1.42148002429,74.0110364748
1534.95930171,-1.28732387822,87.4361176978
1538.49832749,-3.96475384035,75.6803934083
1542.08391941,-4.01264968137,91.6042509836
1545.62294519,-0.5531850591,76.5594507663
1549.2085371,-0.355250986966,78.0165694124
1552.74756289,-3.00080004508,69.3408663151
1556.3331548,-0.655582137713,79.1025991756
1559.91874672,-2.13630743174,81.9829681393
1563.55090476,-4.0050056863,69.8861739981
1567.13649667,-2.665093082,73.8243943017
1570.76865471,-3.32392519195,82.3890916696
1574.40081275,-2.84820668488,89.4742468738
1578.0329708,-1.89889481175,77.1860338221
1581.66512884,-3.27835535269,74.1144441196
1585.29728688,-2.72915088017,76.6963034074
1588.97601105,-2.91392008338,66.9326531501
1592.65473522,-2.44505728611,77.4936091525
1596.33345939,-0.742502494125,77.8456313925
1600.01218356,-2.97607885415,75.1813761037
1603.69090773,-1.54260701592,75.7177672688
1607.3696319,-5.79023620276,81.3903623705
1611.0949222,-1.91349309706,74.9441160551
1614.8202125,-3.73429335721,77.0933559785
1618.5455028,-4.57472959277,82.2262409402
1622.2707931,-3.72671197418,73.554429864
1626.04264953,-2.80691773561,76.1903665667
1629.76793983,-2.46314035488,73.8923994177
1633.53979626,-1.88334217806,73.4837326023
1637.31165268,-3.3494656847,78.5262905106
1641.08350911,-2.75551016237,83.2776214909
1644.85536554,-2.10116122559,75.1010860973
1648.6737881,-3.23952321129,85.912389655
1652.44564452,-4.30965217346,78.9673631534
1656.26406708,-2.10304139979,81.5997729716
1660.08248964,-4.07942356992,75.9597908152
1663.94747832,-3.72023390257,71.0170702647
1667.76590088,-3.91664864076,74.9816442267
1671.63088957,-3.60940441865,73.7885634237
1675.49587825,-3.93612242366,76.5425179889
1679.36086694,-3.3940763945,73.2552485679
1683.22585562,-2.78946001265,84.2699295182
1687.09084431,-3.00513389443,73.0796534796
1691.00239912,-2.71598938489,79.8541720367
1694.91395394,-2.91710512082,73.7755741513
1698.82550875,-3.87315182514,69.7147280846
1702.73706357,-3.10838368486,72.3127062927
1706.64861838,-3.60199696756,73.8113811885
1710.60673932,-4.12649590035,77.5136792235
