freq_hz,mag_db,phase_deg
2000.01522945,-3.53965615104,70.0361282648
2004.6252762,-2.78821257333,67.5012588992
2009.23532294,-3.03236874992,71.5445917784
2013.89193582,-2.94148759949,65.3833812132
2018.50198256,-3.41310845968,66.878110035
2023.20516157,-3.64606868991,66.1997918387
2027.86177444,-3.9387005818,74.2403880582
2032.51838731,-4.30447569008,67.8980741804
2037.22156632,-3.4049102539,67.9697672529
2041.92474532,-3.28604131075,74.6331766945
2046.62792432,-3.15420382997,66.9828787821
2051.37766945,-2.79934054861,66.9378056851
2056.08084846,-2.61058422968,66.6464648721
2060.83059359,-3.45477617376,63.1870537405
2065.58033872,-3.21203442943,66.0217618077
2070.37664998,-3.63863034906,65.3727257105
2075.12639511,-3.72459122072,70.4215712988
2079.92270637,-3.5790408685,65.5367994596
2084.71901763,-3.19005620399,66.8252178144
2089.51532889,-2.79536477648,69.4323072326
2094.35820628,-2.95579882488,69.9991682425
2099.20108367,-3.28697077234,65.6058747914
2104.04396106,-3.54736931345,65.7135048654
2108.88683845,-3.58716329514,67.4697864594
2113.72971584,-4.66574983456,65.3047015022
2118.61915936,-4.33147587973,64.3608346886
2123.50860288,-4.41314807051,65.1209066824
2128.39804639,-4.26487418152,63.8710428431
2133.33405604,-3.95788695821,65.205559471
2138.27006569,-4.12919860643,64.6237960758
2143.20607533,-4.09589389806,65.380030556
2148.14208498,-4.01170060012,69.6121182548
2153.07809463,-3.09452624683,72.2473809492
2158.0606704,-3.37877678919,64.9097490663
2163.04324618,-3.37078206576,66.5005479383
2168.02582195,-3.54697564316,68.0630843366
2173.00839773,-3.42709556156,68.2146189592
2178.03753963,-3.65925385785,62.9591330562
2183.06668154,-3.62233017234,66.6305662872
2188.09582344,-4.63450862948,65.0316511613
2193.17153147,-4.70961740133,64.7549174607
2198.20067338,-5.28825916819,65.1689902893
2203.27638141,-4.90863912362,63.3410708217
2208.39865557,-4.36977608472,62.9756435393
2213.4743636,-4.64473184866,63.1269083248
2218.59663777,-4.82914583483,63.3298042012
2223.71891193,-5.00334348799,64.4011842317
2228.84118609,-4.84642546455,63.2153045373
2233.96346025,-4.5742767515,62.9624136093
2239.13230054,-4.13797179055,64.1311656985
2244.30114083,-4.62551184087,63.3142759913
2249.46998112,-4.56637846132,64.817347432
2254.68538754,-4.41959389529,63.6717247689
2259.85422783,-4.6790091858,63.6883846576
2265.06963425,-4.85895517994,63.7418696983
2270.3316068,-4.49113250657,61.5255392559
2275.54701322,-4.77667774611,66.2880219886
2280.80898576,-3.74200860066,61.7993057118
2286.07095831,-3.87789960625,62.3661831607
2291.33293086,-4.58151945792,67.7635114776
2296.64146954,-4.29259905065,65.4368114285
2301.90344208,-4.24327480685,64.302372062
2307.25854689,-3.24962600687,68.7212851437
2312.56708557,-4.35916447846,61.5964843816
2317.87562424,-4.44994378294,63.389855456
2323.23072905,-4.92303039114,62.5306763911
2328.58583385,-3.93302869744,62.3202469666
2333.98750479,-3.78495624376,66.7573330947
2339.34260959,-5.27147023333,74.0605259423
2344.74428053,-5.16484440226,61.9601287755
2350.19251759,-5.14347603896,62.8564190222
2355.59418852,-5.18538854819,64.6911573079
2361.04242559,-4.47909707619,60.5313943159
2366.49066265,-4.96007374106,63.9839677462
2371.93889971,-5.41474415062,63.0654688137
2377.4337029,-4.85007874207,61.6486608366
2382.88193997,-4.79116988704,70.2944604437
2388.42330929,-5.08669203982,63.6080914155
2393.91811248,-4.65520563003,67.4979289794
2399.41291567,-5.26910980514,61.6351325349
2404.95428499,-5.54246776275,63.8402099162
2410.54222044,-5.25362004828,60.8866688529
2416.08358976,-6.3257472725,64.2313614103
2421.67152521,-5.19706260924,61.4696619553
2427.25946066,-5.0724964059,62.5984860601
2432.84739611,-4.71691786367,59.7507260609
2438.48189768,-5.23531558782,56.9465230728
2444.06983313,-5.14167944258,62.410928091
2449.75090084,-4.44189850095,64.7183242053
2455.38540242,-5.39811677819,57.6430191676
2461.06647012,-5.30174651587,52.2546298395
2466.74753783,-5.30271326867,57.8865160505
2472.42860554,-4.22327791121,59.436204736
2478.10967324,-6.26141406458,57.7992360906
2483.83730708,-5.37795317058,59.4063463327
2489.56494091,-5.07981402758,56.6221620383
2495.33914088,-4.67475731075,54.2087881363
2501.06677471,-4.09461861731,58.3396027352
2506.84097468,-4.05467448634,56.5618413002
2512.61517464,-3.34798119788,58.6970508799
2518.43594073,-2.84023258118,55.4477434438
2524.25670683,-3.2466360407,49.2866980615
2530.07747292,-2.95354646027,44.5700542269
2535.89823901,-2.87881405193,40.2575081725
2541.76557123,-4.00387429575,39.2209705553
2547.63290345,-4.34521311946,32.977128914
2553.50023568,-5.04932956432,31.5205195903
2559.41413403,-4.12720599199,20.699325849
2565.28146625,-8.3593180274,10.0539358653
2571.24193073,-10.0315507472,17.0407074999
2577.15582908,-8.14900159445,23.5128933113
2583.11629355,-10.0924932136,57.3136863176
2589.07675803,-9.65566622749,50.1960690691
2595.03722251,-10.405315542,48.9014289662
2601.04425312,-6.7914170849,58.0772284937
2607.0047176,-10.971294233,58.2749185801
2613.05831434,-8.23096495884,62.5193253005
2619.06534494,-8.75908096568,53.9364831974
2625.11894168,-7.24092503349,59.0880205605
2631.17253842,-6.02526108032,59.3650699926
2637.22613515,-6.05139560044,44.2724840806
2643.32629802,-8.90054436612,77.1538865966
2649.42646088,-6.79432757069,64.3294830163
2655.52662375,-8.01101541399,52.2805504832
2661.67335274,-6.63529911471,62.6019196244
2667.82008174,-7.53457744711,57.6234902759
2673.96681073,-8.01475097108,59.415206341
2680.16010585,-7.83137968819,58.0491102513
2686.30683485,-7.44463060589,60.5326550398
2692.50012997,-7.76440792459,59.4429276178
2698.73999122,-7.54832689898,58.6741049738
2704.97985247,-7.08622985308,59.6328649209
2711.21971372,-6.82258940756,62.569269814
2717.45957497,-7.71353052832,62.3708120733
2723.74600235,-6.98351038756,61.8228023087
2730.03242973,-7.0763891399,63.1186878515
2736.31885711,-7.57928654919,58.1991077594
2742.65185062,-7.62923852415,57.815359641
2748.938278,-7.20120310021,57.4976501963
2755.31783764,-8.0361825196,49.9939306587
2761.65083115,-7.00041458429,55.0641913071
2768.03039079,-7.28884162638,59.9345969747
2774.40995043,-9.59440906276,58.6086302524
2780.83607619,-7.69402243556,68.8395851521
2787.21563583,-7.77870505769,56.1126266987
2793.68832772,-7.61048145139,60.8406975509
2800.11445349,-6.98335038189,57.3911171094
2806.58714539,-6.84035487729,60.5720074498
2813.05983728,-7.0374672661,59.0485349214
2819.53252918,-7.584430633,58.3664773713
2826.0517872,-8.61165082119,56.6261899912
2832.57104522,-7.20963752532,53.1324056206
2839.09030325,-7.86138233129,51.2045320757
2845.6561274,-7.91226944888,49.6258605984
2852.22195155,-6.80807646033,55.0021774359
2858.78777571,-7.91593018636,59.6666789865
2865.40016599,-7.09913175639,58.2493279155
2872.01255627,-7.55172407649,55.5672623452
2878.62494655,-7.79606862864,55.3561749983
2885.28390296,-7.50445351441,63.1559735736
2891.94285937,-8.03840306774,52.0051609683
2898.60181578,-7.28711829958,56.4772019897
2905.30733832,-7.20581148141,54.983561281
2912.01286086,-6.93993384969,52.6014068651
2918.7183834,-8.1593744041,60.3168800906
2925.47047206,-9.79625034095,51.9731874123
2932.22256073,-8.41251496092,65.213784683
2938.9746494,-8.36315398296,56.5221584851
2945.77330419,-9.02827775986,58.9328166632
2952.57195899,-8.83451383696,61.5547785388
2959.37061379,-9.39544366166,64.1608633922
2966.21583471,-7.0905209326,62.6963244375
2973.06105564,-9.09276063853,49.4736670222
2979.90627656,-11.0735404867,60.1538829553
2986.79806362,-9.07671769058,49.5960663129
2993.68985067,-10.5629225417,55.5309886361
3000.58163772,-6.93944420215,53.9817983031
3007.51999091,-8.59905040402,60.9612029484
3014.45834409,-8.53351593197,58.3719819053
3021.39669727,-7.5985152397,54.5006647817
3028.38161658,-8.27861430129,56.2856504553
3035.36653589,-7.76674028885,51.0616268706
3042.3514552,-8.7037935176,50.9555404284
3049.38294064,-8.10786570058,58.3621835618
3056.41442608,-8.88684208203,57.5689772072
3063.49247765,-11.0568337806,46.2340357235
3070.57052922,-11.5190388531,52.974466433
3077.64858079,-9.59968397739,45.311573164
3084.72663236,-7.31235405735,52.7123749804
3091.85125006,-7.11569349589,51.6443939421
3098.97586775,-8.4533651304,54.131958232
3106.14705158,-9.21463579142,51.1341613267
3113.31823541,-8.73551221337,57.2655067673
3120.48941923,-6.70389283143,56.5414408437
3127.70716919,-7.36159709702,56.1812245113
3134.92491914,-8.06478176405,58.1090139628
3142.1426691,-7.19719953208,57.9530362192
3149.40698518,-8.35223496398,59.2581622571
3156.67130127,-8.23168991735,61.7803277599
3163.93561735,-6.4642663554,58.7820325597
3171.24649956,-5.89732969324,74.0112607109
3178.55738177,-7.21813167103,78.4344369799
3185.91483012,-7.73434100246,69.4146477079
3193.27227846,-7.71010440463,48.3486631573
3200.6297268,-7.30810246355,61.4795564078
3207.98717514,-9.20909524858,43.8173705345
3215.39118961,-6.82371782941,53.4260305992
3222.84177021,-9.04035128366,48.8910764528
3230.24578468,-10.0610341674,53.5832100345
3237.69636528,-10.2334555732,47.2703452768
3245.193512,-9.91294887207,54.3282988916
3252.69065873,-12.5643808894,47.1130357375
3260.18780546,-10.7356962322,88.5667434138
3267.68495219,-7.05091575517,43.3933907168
3275.22866504,-7.01027732275,44.0760317343
3282.81894403,-11.1509314183,44.8885605703
3290.36265688,-2.26408215777,75.1751592965
3297.95293587,-11.901762032,67.1708511968
3305.58978098,-12.2739002538,26.5203791567
3313.22662609,-6.00791682253,91.0148800146
3320.86347121,-6.58911077979,73.5546425278
3328.50031632,-6.77013191136,38.2867911079
3336.18372756,-6.57720234755,46.580689084
3343.91370494,-9.76849539671,41.0745870401
3351.59711618,-5.76893081458,61.7568177963
3359.32709355,-6.56333399079,67.2323225251
3367.10363705,-7.06492864335,46.4677747394
3374.88018055,-13.2787301144,31.9555024125
3382.65672405,-7.17015572244,43.3252087367
3390.47983368,-7.35058737274,43.2363018995
3398.30294331,-7.24490294879,57.7506662666
3406.12605293,-7.61297742099,57.4847075814
3413.99572869,-9.14079121538,68.83970938
3421.86540445,-9.5259518332,36.4597890717
3429.78164634,-7.44697771713,45.5528570841
3437.69788822,-7.81979441479,30.1763490378
3445.61413011,-13.5539408716,55.0213272423
3453.57693812,-10.3750961438,40.4493107511
3461.53974614,-6.96989485425,58.4388699394
3469.50255415,-9.34394700437,40.7328288423
3477.5119283,-8.88623128023,68.3195106327
3485.56786857,-10.3875173105,69.1518583709
3493.57724271,-8.65105066361,57.5866210185
3501.63318298,-6.34583355246,52.4298935242
3509.73568938,-10.2878960289,39.6850002963
3517.83819579,-8.12673868457,44.5310153885
3525.94070219,-9.26473313355,60.3374410638
3534.08977472,-9.08673093513,57.3814094143
3542.23884725,-8.32144397719,66.3291714625
3550.4344859,-10.3139987846,48.2087043869
3558.63012456,-8.45694507464,58.0806519581
3566.82576322,-9.2565566848,44.1337727135
3575.06796801,-7.81283869225,46.5505804492
3583.3101728,-8.42198239614,45.4174008769
3591.55237758,-8.76911268375,69.2031427094
3599.8411485,-8.52253629683,45.2939511962
3608.17648554,-9.04460859947,47.8116399236
3616.51182259,-8.60056522555,42.6543161669
3624.84715963,-9.39214498881,50.7540262281
3633.18249668,-6.42186037775,39.4503643457
3641.56439985,-7.15340287504,26.7317218328
3649.99286915,-11.2066890392,52.6320398491
3658.42133846,-2.59147713161,49.610094212
3666.84980776,-7.46753834227,17.5834886689
3675.32484319,-8.4615466806,55.5750873438
3683.79987862,-9.64951048847,39.1581060845
3692.27491405,-9.40579548533,64.6445918726
3700.79651561,-9.0559511052,131.577041738
3709.3646833,-11.0582107022,54.1489177743
3717.93285099,-15.3093186922,21.5670090594
3726.50101868,-8.89188215149,65.9309187873
3735.06918637,-12.5786421647,19.1378613332
3743.73048631,-10.1204327286,58.9322795857
3752.34522013,-6.90036953499,29.8250698752
3761.00652007,-7.8862192001,66.7700421353
3769.66782002,-8.05662777268,55.3342515149
3778.37568609,-6.45407444093,54.2806937511
3787.08355217,-8.82640208807,61.1919532554
3795.83798437,-6.53982348844,47.965279467
3804.59241658,-9.38029020482,30.8941807483
3813.39341491,-9.68663425138,53.8448926565
3822.19441324,-5.28415842101,98.2620233238
3830.99541157,-7.29653509146,47.7888444505
3839.84297603,-9.94970910268,62.3098741277
