freq_hz,mag_db,phase_deg
2000.01522945,-2.44937626187,73.5174339351
2004.6252762,-2.22658262022,69.6956664537
2009.23532294,-1.96320750859,73.624694574
2013.89193582,-2.37925406715,64.7981246201
2018.50198256,-3.589975988,64.7743911974
2023.20516157,-3.80192711712,61.820122529
2027.86177444,-4.68836454763,69.2179327206
2032.51838731,-4.44888482403,63.284709627
2037.22156632,-5.64521459791,65.3713053125
2041.92474532,-4.95718459438,62.2729843303
2046.62792432,-4.76552755505,62.3798446368
2051.37766945,-5.33639814991,63.485173833
2056.08084846,-3.84632928543,60.7091880773
2060.83059359,-4.06598591102,62.9438933261
2065.58033872,-3.23421405336,63.4135681025
2070.37664998,-3.8932069278,65.1340677358
2075.12639511,-3.61580735251,68.1701965866
2079.92270637,-1.48369348097,70.8683628681
2084.71901763,-2.83583654624,67.4101946666
2089.51532889,-4.03222870501,64.3451762134
2094.35820628,-3.68193595952,69.7445218124
2099.20108367,-4.36644390699,71.6705765948
2104.04396106,-3.42455894269,72.6323213432
2108.88683845,-6.58020215778,75.2814503981
2113.72971584,-6.67119141656,75.7492475417
2118.61915936,-3.45940519485,73.4070589489
2123.50860288,-0.982914800455,68.6149699548
2128.39804639,-3.92595726607,64.8032747779
2133.33405604,-2.85429435007,64.7724056248
2138.27006569,-3.83582640816,64.6557054556
2143.20607533,-3.80161357489,64.4151841936
2148.14208498,-3.81173808298,65.4424169645
2153.07809463,-4.20433387749,63.0599691712
2158.0606704,-4.29194740705,66.4237423434
2163.04324618,-3.27937538196,71.2430984925
2168.02582195,-3.77287819344,70.8135956388
2173.00839773,-2.52683171777,73.8554525763
2178.03753963,-1.07132994838,68.5996413553
2183.06668154,-4.50927016712,66.5413750243
2188.09582344,-5.37051370968,62.6093355915
2193.17153147,-4.87719669311,60.9377310887
2198.20067338,-5.67429945466,62.9114176397
2203.27638141,-5.42208066103,64.7401843652
2208.39865557,-5.2653750939,61.1662741332
2213.4743636,-4.05713582741,64.6947604782
2218.59663777,-3.42511962294,66.4958773938
2223.71891193,-4.03446298319,65.195918719
2228.84118609,-3.46625627831,68.4353981384
2233.96346025,-4.40771416335,72.9200814475
2239.13230054,-4.1907890162,72.3893323727
2244.30114083,-2.8533165984,69.3002854949
2249.46998112,-5.34363022085,72.2833428947
2254.68538754,-5.46236527434,74.4465594008
2259.85422783,-3.73199695846,72.681236324
2265.06963425,-3.01966365386,67.3106606408
2270.3316068,-2.94107756497,70.4881282591
2275.54701322,-2.94492554214,69.4377505149
2280.80898576,-4.4158628933,61.238982929
2286.07095831,-5.39941885162,63.7887060307
2291.33293086,-5.56489680482,59.366140116
2296.64146954,-4.27840362233,65.2441388544
2301.90344208,-5.60834599251,64.021008555
2307.25854689,-5.72049401337,61.2902061054
2312.56708557,-4.38858325057,60.3933792968
2317.87562424,-4.56823892111,60.8212603668
