freq_hz,mag_db,phase_deg
2000.01522945,-5.079334923,72.560095602
2004.6252762,-2.58162589081,78.1792440649
2009.23532294,-3.47567236375,66.2491997904
2013.89193582,-2.75118736791,72.5129984782
2018.50198256,-2.84279297557,70.5546352658
2023.20516157,-3.54372234661,74.579613841
2027.86177444,-2.79625128027,65.6620056158
2032.51838731,-2.07900417139,68.1098871043
2037.22156632,-4.64281101908,74.4415673671
2041.92474532,-3.47453538105,65.800742115
2046.62792432,-2.40286285575,71.8430660087
2051.37766945,-1.48953285173,69.2834400058
2056.08084846,-1.7694085977,70.5579048655
2060.83059359,-3.17241056338,75.5485578956
2065.58033872,-2.22564165231,71.1855503115
2070.37664998,-2.00099095893,65.9158592465
2075.12639511,-3.53400748525,67.2877718767
2079.92270637,-2.24955046219,69.2770242874
2084.71901763,-3.18357374634,64.2907563471
2089.51532889,-3.27392041892,69.9048029471
2094.35820628,-3.41641768563,64.5291365704
2099.20108367,-1.67913237925,67.6562065702
2104.04396106,-4.01420371242,62.2345808307
2108.88683845,-3.05752425302,69.2574085059
2113.72971584,-3.76705542195,70.8685393951
2118.61915936,-3.186685639,80.2755233083
2123.50860288,-1.75803425768,72.4082465402
2128.39804639,-3.94224855176,64.610521662
2133.33405604,-4.60370179932,61.4259030304
2138.27006569,-2.65851114409,58.2052225787
2143.20607533,-2.52078352137,62.7834437694
2148.14208498,-6.71955780028,73.3894994345
2153.07809463,-5.57461843593,65.9477480162
2158.0606704,-2.60921386695,81.8576516616
2163.04324618,-2.19284460659,86.4959273337
2168.02582195,-3.08441292673,86.8028386871
2173.00839773,-4.00491540215,73.5040363465
2178.03753963,-4.73676962712,61.7612414965
2183.06668154,-6.92974062778,77.4292552833
2188.09582344,-3.6587782274,59.0970970795
2193.17153147,-3.95976989854,70.8912878034
2198.20067338,-1.56751107783,73.8060285795
2203.27638141,-2.79412164494,64.7255609246
2208.39865557,-3.58381220497,70.6968388384
2213.4743636,-2.07234978886,73.0398479782
2218.59663777,-4.59464533482,55.0843590392
2223.71891193,-2.03734947105,71.1845665806
2228.84118609,-4.7646485358,79.4756582682
2233.96346025,-5.48040176865,53.2271443676
2239.13230054,-3.31011342282,55.8492420943
2244.30114083,-8.01025086161,63.6432337754
2249.46998112,-4.44840198524,66.027362029
2254.68538754,-5.27269146753,75.9861219761
2259.85422783,-2.27502537019,60.4389156785
2265.06963425,-2.34839253152,67.1423532337
2270.3316068,-5.97990157313,73.3021723969
2275.54701322,-4.23519122674,70.1597670988
2280.80898576,-3.07759905703,68.8340634973
2286.07095831,-3.56791039161,69.4311501922
2291.33293086,-3.03346049161,71.0092441601
2296.64146954,-4.13514004515,70.583071264
2301.90344208,-3.0080008398,65.4843790619
2307.25854689,-4.1489204956,71.8984474228
2312.56708557,-3.51747213708,59.1641583105
2317.87562424,-2.30834816528,68.1126989465
2323.23072905,-4.21883519338,73.2475220906
2328.58583385,-5.37202364628,78.1294624704
2333.98750479,-2.79061076452,66.2617619469
2339.34260959,-3.62257120694,62.2202164675
2344.74428053,-2.65109958235,69.2825511704
2350.19251759,-4.47234941987,72.9514248632
2355.59418852,-6.02726317653,60.2266970822
2361.04242559,-4.34484897332,64.9508833537
2366.49066265,-5.23890377349,66.0203505534
2371.93889971,-6.13533132538,61.2769079935
2377.4337029,-5.83238640233,59.9541346458
2382.88193997,-6.22626301357,70.341524372
2388.42330929,-5.1806716101,60.9021943588
2393.91811248,-4.95518962776,64.1426736217
2399.41291567,-5.31176315084,59.3408214787
2404.95428499,-4.26821605857,62.8649945044
2410.54222044,-4.44168087352,62.2314170989
2416.08358976,-4.89944075523,60.9156749099
2421.67152521,-4.80276792604,68.1381353746
2427.25946066,-4.54262450454,61.0249680883
